,Num,Title,Artist(s),Year,Lead Artist(s),latitude,longitude,location,song_type_0,song_type_1,song_type_2,song_discovery,acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
10,11,Everybody's Somebody's Fool,Connie Francis,1960,Connie Francis,40.736101,-74.22509,"Newark, NJ",studio,vocal,,0.0,0.537181,0.396242,160.45333,0.669848,1e-06,1,0.225806,-9.537,1,0.032386,168.437,0.891659
11,12,Wild One,Bobby Rydell,1960,Bobby Rydell,39.9523,-75.1624,"Philadelphia, PA, US",studio,vocal,,0.0,0.678674,0.608439,143.66667,0.640036,5.4e-05,7,0.048227,-9.006,1,0.039223,148.793,0.916774
12,13,Greenfields,The Brothers Four,1960,The Brothers Four,47.6036,-122.329,"Seattle, WA, US",acoustic,studio,vocal,0.0,0.95685,0.487986,181.78703,0.17073,3e-06,11,0.094691,-15.721,0,0.036889,118.711,0.384694
13,14,What in the World's Come Over You,Jack Scott,1960,Jack Scott,42.3178,-83.0339,"Windsor, Ontario, CA",acoustic,studio,,0.0,0.992883,0.468801,162.61179,0.057369,0.879435,4,0.206367,-25.046,1,0.027205,75.557,0.613448
14,15,El Paso,Marty Robbins,1960,Marty Robbins,33.531753,-112.177935,"Glendale, AZ",studio,vocal,,0.0,0.884367,0.454889,261.33333,0.693213,0.000173,2,0.150847,-5.635,1,0.032856,104.25,0.631809
15,16,Alley Oop,The Hollywood Argyles,1960,The Hollywood Argyles,34.0535,-118.245,"Los Angeles, CA, US",studio,vocal,,0.0,0.79712,0.627333,164.95456,0.45226,0.0,2,0.082475,-9.787,1,0.049241,64.479,0.929491
16,17,My Heart Has a Mind of Its Own,Connie Francis,1960,Connie Francis,40.736101,-74.22509,"Newark, NJ",studio,vocal,,0.0,0.637556,0.430719,154.16,0.414444,0.0,6,0.369778,-10.514,1,0.032336,109.259,0.706253
17,18,Sweet Nothin's,Brenda Lee,1960,Brenda Lee,33.844371,-84.47405,"Atlanta, GA",studio,electric,vocal,0.0,0.355739,0.795975,156.2,0.559189,7e-05,7,0.055608,-11.87,1,0.060256,118.269,0.966604
18,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,Brian Hyland,40.6926,-73.861,"Woodhaven, New York, NY, US",studio,vocal,,0.0,0.789979,0.842907,140.15741,0.672564,0.0,2,0.174706,-4.253,1,0.182956,122.776,0.939599
19,20,Only the Lonely,Roy Orbison,1960,Roy Orbison,34.155524,-99.284002,"Vernon, TX",studio,electric,vocal,0.0,0.369114,0.571165,137.17333,0.473995,0.00021,5,0.245748,-11.197,1,0.034186,132.493,0.752987
20,21,Where or When,Dion and the Belmonts,1960,Dion,43.171614,-77.751736,"The Bronx, New York ",studio,vocal,,0.0,0.744098,0.403904,157.51837,0.30282,0.0,8,0.275256,-12.866,1,0.029708,111.046,0.492385
21,22,Sixteen Reasons,Connie Stevens,1960,Connie Stevens,40.6551,-73.9489,"Brooklyn, New York, NY, US",studio,vocal,,0.0,0.854417,0.338596,58.26,0.374821,0.0,10,0.263367,-9.766,1,0.03358,113.84,0.669485
22,23,Puppy Love,Paul Anka,1960,Paul Anka,45.416667,-75.7,"Ottawa, Canada",studio,vocal,,0.0,0.735047,0.306964,159.41333,0.413327,0.0,7,0.35032,-9.686,1,0.033518,104.661,0.484998
23,24,Why,Frankie Avalon,1960,Frankie Avalon,,,,,,,,,,,,,,,,,,,
24,25,"Walk, Don't Run",The Ventures,1960,The Ventures,,,,,,,,,,,,,,,,,,,
